variable_name,feature_group,data_source,category,clinical_meaning
USUBJID,Identifier,ADSL,Identifier,Unique Subject Identifier - unique patient code in the study
AVISIT,Identifier,ADaM grain,Identifier,"Analysis Visit - visit name (e.g. WEEK 0, WEEK 8, WEEK 16)"
AVISITN,Identifier,ADaM grain,Identifier,Analysis Visit Number - numeric visit code used for chronological ordering
AVAL_ABPAIN,Longitudinal (AVAL),ADPUCAI,Clinical Score,"PUCAI - Abdominal Pain (0=no pain, 5=moderate, 10=severe)"
AVAL_ACTLEV,Longitudinal (AVAL),ADPUCAI,Clinical Score,"PUCAI - Activity Level (0=no limitation, 5=occasional, 10=severe limitation)"
AVAL_AINFCIN,Longitudinal (AVAL),ADHIST,Histology,Acute Inflammatory Cell Infiltrate - histological measure of acute inflammation (Geboes grade component)
AVAL_ARCHCHG,Longitudinal (AVAL),ADHIST,Histology,Architectural Changes - histological measure of tissue architecture distortion (Geboes grade 0 component)
AVAL_CHINFIN,Longitudinal (AVAL),ADHIST,Histology,Chronic Inflammatory Infiltrate - histological measure of chronic inflammation (Geboes grade 1 component)
AVAL_CRP,Longitudinal (AVAL),ADLBEF,Biomarker,C-Reactive Protein - serum CRP (mg/L; systemic inflammation marker)
AVAL_CRYPTDS,Longitudinal (AVAL),ADHIST,Histology,Crypt Destruction - histological crypt damage score (Geboes grade 4 component)
AVAL_EOS,Longitudinal (AVAL),ADHIST,Histology,Eosinophils in Epithelium - eosinophil count in epithelial layer (Geboes grade 2a component)
AVAL_EROULC,Longitudinal (AVAL),ADHIST,Histology,Erosions or Ulcerations - histological erosion/ulceration score (Geboes grade 5 component)
AVAL_EROULRHI,Longitudinal (AVAL),ADHIST,Histology,Erosions or Ulcerations (RHI) - erosion/ulceration score used in Robarts Histopathology Index
AVAL_GBTOT,Longitudinal (AVAL),ADHIST,Histology,Geboes Total Score - composite histological activity score for UC (sum of all 6 Geboes grades; 0=normal)
AVAL_NEUTEP,Longitudinal (AVAL),ADHIST,Histology,Neutrophils in Epithelium - neutrophil infiltration in epithelium (Geboes grade 3 component)
AVAL_NEUTLP,Longitudinal (AVAL),ADHIST,Histology,Neutrophils in Lamina Propria - neutrophil infiltration in lamina propria (Geboes grade 2b component)
AVAL_NITOT,Longitudinal (AVAL),ADHIST,Histology,Nancy Index Total Score - histological activity score for UC (0-4 scale; 0=no significant histological disease)
AVAL_NOCTSTL,Longitudinal (AVAL),ADPUCAI,Clinical Score,"PUCAI - Nocturnal Stools (0=none, 10=present)"
AVAL_NUMSTL,Longitudinal (AVAL),ADPUCAI,Clinical Score,"PUCAI - Number of Stools (0=0-2 stools/day, 5=3-5, 10=>5 stools/day)"
AVAL_OVLGRD,Longitudinal (AVAL),ADHIST,Histology,Overall Histological Grade - overall histological disease activity grade
AVAL_PUCAITS,Longitudinal (AVAL),ADPUCAI,Clinical Score,"PUCAI Total Score - Pediatric Ulcerative Colitis Activity Index total (0-85; <10=remission, >=65=severe)"
AVAL_RBLEED,Longitudinal (AVAL),ADPUCAI,Clinical Score,"PUCAI - Rectal Bleeding (0=none, 5=small amount, 10=blood only)"
AVAL_RHI,Longitudinal (AVAL),ADHIST,Histology,Robarts Histopathology Index - validated histological activity score for UC (0-33; higher=more active)
AVAL_STLCONS,Longitudinal (AVAL),ADPUCAI,Clinical Score,"PUCAI - Stool Consistency (0=formed, 5=partially formed, 10=completely liquid)"
AVAL_ULCER,Longitudinal (AVAL),ADHIST,Histology,Ulcer - histological ulceration score (Geboes grade 5 component)
AVAL_ABPAIN1,Longitudinal (AVAL),ADVPUCAI,Clinical Score,PUCAI - Abdominal Pain (analysis; primary reader assessment)
AVAL_ACTLEV1,Longitudinal (AVAL),ADVPUCAI,Clinical Score,PUCAI - Activity Level (analysis; primary reader assessment)
AVAL_CALPRO,Longitudinal (AVAL),ADLBEF,Biomarker,Fecal Calprotectin - fecal calprotectin level (ug/g; intestinal inflammation marker)
AVAL_LTF,Longitudinal (AVAL),ADLBEF,Biomarker,Lactoferrin - fecal lactoferrin (ug/mL; neutrophilic intestinal inflammation marker)
AVAL_NOCTSTL1,Longitudinal (AVAL),ADVPUCAI,Clinical Score,PUCAI - Nocturnal Stools (analysis; primary reader assessment)
AVAL_NUMSTL1,Longitudinal (AVAL),ADVPUCAI,Clinical Score,PUCAI - Number of Stools (analysis; primary reader assessment)
AVAL_PUCAITS1,Longitudinal (AVAL),ADVPUCAI,Clinical Score,PUCAI Total Score (analysis) - PUCAI total as assessed by primary reader
AVAL_RBLEED1,Longitudinal (AVAL),ADVPUCAI,Clinical Score,PUCAI - Rectal Bleeding (analysis; primary reader assessment)
AVAL_STLCONS1,Longitudinal (AVAL),ADVPUCAI,Clinical Score,PUCAI - Stool Consistency (analysis; primary reader assessment)
AVAL_ABSSTOOL,Longitudinal (AVAL),ADMAYO,Clinical Score,Absolute Stool Count - absolute daily stool count from patient diary
AVAL_ENCSCORE,Longitudinal (AVAL),ADMAYO,Clinical Score,Mayo - Endoscopy Combined Score - MES by primary reader (QUASAR alignment)
AVAL_ENLSCORE,Longitudinal (AVAL),ADMAYO,Clinical Score,Mayo - Endoscopy Local Score - MES by local reader (QUASAR alignment)
AVAL_ENSCORE,Longitudinal (AVAL),ADMAYO,Clinical Score,"Mayo - Endoscopy Score (0-3; 0=normal, 3=severe with spontaneous bleeding)"
AVAL_MAYO,Longitudinal (AVAL),ADMAYO,Clinical Score,"Full Mayo Score - complete UC clinical score (0-12; <=2=remission, >10=severe)"
AVAL_MMAYO,Longitudinal (AVAL),ADMAYO,Clinical Score,Modified Mayo Score - Mayo without endoscopy component (0-9)
AVAL_PGSCORE,Longitudinal (AVAL),ADMAYO,Clinical Score,"Mayo - Physician Global Assessment Score (0-3; 0=normal, 3=severe)"
AVAL_PMAYO,Longitudinal (AVAL),ADMAYO,Clinical Score,Partial Mayo Score - patient-reported SF + RBS + PGS (0-9; no endoscopy)
AVAL_RBSCORE,Longitudinal (AVAL),ADMAYO,Clinical Score,"Mayo - Rectal Bleeding Score (0-3; 0=none, 3=blood alone passed)"
AVAL_SFSCORE,Longitudinal (AVAL),ADMAYO,Clinical Score,"Mayo - Stool Frequency Score (0-3; 0=normal, 3=>5 stools/day above normal)"
AVAL_CHINFINI,Longitudinal (AVAL),ADHIST,Histology,Chronic Inflammatory Infiltrate (analysis) - alternative chronic inflammation measure
STC_AGE,Static (STC),ADSL,Demographics,Age - patient age at study entry (years)
STC_SEX,Static (STC),ADSL,Demographics,Sex - patient sex (F=Female / M=Male)
STC_RACE,Static (STC),ADSL,Demographics,Race - patient race/ethnicity (ICH E3 classification)
STC_COUNTRY,Static (STC),ADSL,Demographics,Country - country of investigational site
STC_WEIGHTBL,Static (STC),ADSL,Demographics,Weight at Baseline - body weight at baseline (kg)
STC_HEIGHTBL,Static (STC),ADSL,Demographics,Height at Baseline - height at baseline (cm)
STC_BMIBL,Static (STC),ADSL,Demographics,BMI at Baseline - body mass index at baseline (kg/m2)
STC_TRT01P,Static (STC),ADSL,Treatment,Planned Treatment Period 1 - planned treatment assignment
STC_TRT01A,Static (STC),ADSL,Treatment,Actual Treatment Period 1 - treatment actually administered
STC_ARM,Static (STC),ADSL,Treatment,Treatment Arm - randomized treatment arm assigned in the study
STC_B5ASA,Static (STC),ADSL,Treatment,5-ASA Use at Baseline - 5-aminosalicylate use at baseline (Y=yes / N=no)
STC_BIOFAIL,Static (STC),ADSL,Treatment,Prior Biologic Failure - failure of at least one prior biologic agent (Y=yes / N=no)
STC_CRSPM0,Static (STC),ADSL,Treatment,Clinical Response at Month 0 - corticosteroid response status at baseline
STC_AGEDIAG,Static (STC),ADBDC,Baseline,Age at Diagnosis - patient age at time of UC diagnosis (years)
STC_ALCOHOL,Static (STC),ADBDC,Baseline,Alcohol Use at Baseline - alcohol consumption status at screening
STC_CALPRBL,Static (STC),ADBDC,Baseline,Fecal Calprotectin at Baseline - fecal calprotectin at screening (ug/g)
STC_CRPBL,Static (STC),ADBDC,Baseline,CRP at Baseline - serum C-Reactive Protein at screening (mg/L)
STC_DISDURN,Static (STC),ADBDC,Baseline,UC Disease Duration (years)
STC_ENDOBL,Static (STC),ADBDC,Baseline,Endoscopy Score at Baseline - Mayo endoscopy subscore at screening (0-3)
STC_EXTDIS,Static (STC),ADBDC,Baseline,Extent of Disease at Baseline - UC extent at screening colonoscopy
STC_IMPACTBL,Static (STC),ADBDC,Baseline,IMPACT-III Score at Baseline - pediatric IBD quality of life score at screening
STC_LTFBL,Static (STC),ADBDC,Baseline,Lactoferrin at Baseline - fecal lactoferrin at screening (ug/mL)
STC_MAYOBL,Static (STC),ADBDC,Baseline,Mayo Score at Baseline - Full Mayo Score at screening (0-12)
STC_MMAYOBL,Static (STC),ADBDC,Baseline,Modified Mayo Score at Baseline - Modified Mayo Score at screening (0-9)
STC_OPIOID,Static (STC),ADBDC,Baseline,Opioid Use at Baseline - opioid medication use at screening
STC_PUCAIBL,Static (STC),ADBDC,Baseline,PUCAI Score at Baseline - Pediatric Ulcerative Colitis Activity Index at screening (0-85)
STC_TOBACCO,Static (STC),ADBDC,Baseline,Tobacco Use at Baseline - tobacco smoking status at screening
STC_HISTFLG1,Static (STC),ADHIST,Treatment,Histology Flag 1 - histological response flag 1 derived from ADHIST
STC_HISTFLG2,Static (STC),ADHIST,Treatment,Histology Flag 2 - histological response flag 2 derived from ADHIST
STC_CORBFL,Static (STC),ADHIST,Baseline,Corticosteroid Use at Baseline - corticosteroid use flag at baseline
